trade_id,symbol,direction,entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,exit_reason,live_result_r,live_profit_usd,backtest_result_r,backtest_profit_usd,difference_usd
77,AUD_CHF,bearish,2023-03-19 21:00:00+00:00,0.6241857,0.6381632290009953,0.6157991825994027,2023-03-21 14:00:00+00:00,0.6157991825994027,tp,0.6000000000000032,207.00000000000128,1.44,562.51,-355.50999999999874
82,GBP_JPY,bearish,2023-03-21 21:00:00+00:00,163.230992,165.0753257147653,162.12439177114084,2023-03-21 21:00:00+00:00,162.12439177114084,tp,0.5999999999999753,206.99999999999042,2.68,1045.33,-838.3300000000095
21,NAS100_USD,bullish,2023-02-21 00:00:00+00:00,12123.69,11526.652037808706,12481.912777314776,2023-03-22 00:00:00+00:00,,backtest_fallback,1.49,582.95,1.49,582.95,0.0
22,NAS100_USD,bullish,2023-02-23 00:00:00+00:00,12123.69,11529.201246886078,12480.383251868354,2023-03-22 00:00:00+00:00,,backtest_fallback,1.49,582.95,1.49,582.95,0.0
84,GBP_AUD,bullish,2023-03-22 21:00:00+00:00,1.82649476,1.8122344793334555,1.835050928399927,2023-03-22 21:00:00+00:00,1.835050928399927,tp,0.6000000000000093,207.00000000000367,1.44,562.93,-355.9299999999963
86,GBP_CHF,bearish,2023-03-23 21:00:00+00:00,1.12201386,1.1348519958791343,1.1143109784725194,2023-03-28 14:00:00+00:00,1.1348519958791343,sl,-1.0,-417.00000000000006,-1.06,-412.78,-4.220000000000084
99,EUR_JPY,bearish,2023-03-28 21:00:00+00:00,143.645328,146.15427025356868,142.1399626478588,2023-03-28 21:00:00+00:00,142.1399626478588,tp,0.6000000000000023,207.00000000000094,-1.03,-401.66,608.660000000001
97,GBP_JPY,bearish,2023-03-28 21:00:00+00:00,163.230992,164.90355165633267,162.22745620620043,2023-03-28 21:00:00+00:00,162.22745620620043,tp,0.5999999999999694,206.99999999998812,-1.04,-407.49,614.4899999999882
95,CHF_JPY,bearish,2023-03-28 21:00:00+00:00,144.610524,147.52463741563008,142.86205595062194,2023-03-28 21:00:00+00:00,142.86205595062194,tp,0.6000000000000039,207.00000000000153,-1.03,-400.04,607.0400000000016
93,NZD_JPY,bearish,2023-03-28 21:00:00+00:00,82.696756,84.2541578744792,81.76231487531247,2023-03-28 21:00:00+00:00,81.76231487531247,tp,0.5999999999999982,206.99999999999935,-1.0,-391.62,598.6199999999993
