date,start_balance,daily_dd_base,min_equity_allowed,lowest_equity,max_daily_dd_pct,protective_close
2024-05-04,140913.85697128923,140913.85697128923,133868.16412272476,139312.7450969521,1.1362345114599732,False
2024-05-05,140913.85697128923,140913.85697128923,133868.16412272476,138398.45468820084,1.7850638234967175,False
2024-05-06,139632.13697128923,139632.13697128923,132650.53012272477,139024.43901051715,0.43521353604796514,False
2024-05-07,139632.13697128923,139715.7076690798,132729.9222856258,139501.31568447026,0.15344873399441286,False
2024-05-08,139632.13697128923,140221.3085285639,133210.24310213572,139881.8889880458,0.24205988667476117,False
2024-05-09,139227.20697128924,140770.25758226105,133731.744703148,140139.22448041535,0.4482716112648685,False
2024-05-10,139227.20697128924,141243.52442746738,134181.348206094,140206.98901302324,0.7338640257284347,False
2024-05-11,138463.52697128925,140674.93710876608,133641.19025332778,140153.812453653,0.37044598407047463,False
2024-05-12,138073.25697128926,140284.6671087661,133270.4337533278,140153.812453653,0.09327794534497881,False
2024-05-13,138638.07697128927,140712.49841980528,133676.87349881502,140712.49841980528,0.0,False
2024-05-14,139495.11697128927,141940.1151614122,134843.10940334157,141624.04809454965,0.22267634946125844,False
2024-05-15,140389.13697128923,141905.80277134618,134810.51263277887,140562.9700071234,0.9462846042923961,False
2024-05-16,140389.13697128923,140702.47678327872,133667.35294411477,140370.72062690064,0.23578558385228282,False
2024-05-17,140950.15697128922,141183.9230606407,134124.72690760865,141183.9230606407,0.0,False
2024-05-18,142766.3969712892,142783.6273617194,135644.44599363345,142708.56545701483,0.05257038645923969,False
2024-05-19,142766.3969712892,142783.6273617194,135644.44599363345,142708.56545701483,0.05257038645923969,False
2024-05-20,142358.62697128922,143179.5201205515,136020.54411452392,142316.47432572633,0.6027718168761192,False
2024-05-21,141525.42697128924,143022.32827903476,135871.21186508302,142254.5152036967,0.5368483960351003,False
2024-05-22,140643.61697128924,142606.77929010897,135476.44032560353,142606.77929010897,0.0,False
2024-05-23,141969.17697128927,144445.32619690403,137223.05988705883,144445.32619690403,0.0,False
2024-05-24,142827.46697128928,145296.59060752767,138031.76107715128,144993.0731474375,0.20889510126911506,False
2024-05-25,142827.46697128928,145526.84018246186,138250.49817333877,145394.8438501887,0.09070239696515907,False
2024-05-26,142827.46697128928,145526.84018246186,138250.49817333877,145295.16403681514,0.1591982244349187,False
2024-05-27,142827.46697128928,145419.0630069292,138148.10985658274,145207.84977806392,0.14524452605999083,False
2024-05-28,142827.46697128928,145838.82592946768,138546.8846329943,145349.38691837917,0.33560268191216963,False
2024-05-29,143958.20697128927,146012.9264095263,138712.28008904998,145372.56706590747,0.43856346103412186,False
2024-05-30,144808.01697128927,148078.07126881793,140674.16770537704,145133.46514749777,1.9885497535786933,False
2024-05-31,144000.93697128928,145826.16929980248,138534.86083481234,144388.43751182154,0.9859216592497358,False
